text,date
HM 👍..,2024-05-16 14:23:57+00:00
😍😍,2024-05-16 13:45:14+00:00
Ommmgg😍,2024-05-16 13:43:43+00:00
Wow so fresh🩵,2024-05-16 13:36:47+00:00
Where is the red maxi? It’s in the email but not on the site.,2024-05-16 13:24:21+00:00
Bravo ❤️🔥,2024-05-16 13:21:38+00:00
É no Brasil?🇧🇷,2024-05-16 13:15:40+00:00
Do you want to explain why I just read that you’re one of the biggest forced labor exploiters in the world??,2024-05-16 13:12:44+00:00
summertime summoned ❤️‍🔥,2024-05-16 13:09:59+00:00
So in love with that red one piece!,2024-05-16 13:00:38+00:00
🙌 yes,2024-05-16 12:56:49+00:00
@maynama du rouge encore et encore,2024-05-16 12:54:46+00:00
❤️❤️❤️,2024-05-16 12:53:58+00:00
❤️❤️❤️,2024-05-16 12:52:07+00:00
"It's impossible, I'm a millionaire and I don't know what to do with the money.",2024-05-16 12:46:51+00:00
"My God, how many millions of dollars do I have in my bank account, who do I send it to?",2024-05-16 12:46:50+00:00
Pls change your guys store changing rooms from curtains to doors. My privacy has been invaded way too many times.,2024-05-16 12:46:40+00:00
❤️❤️❤️❤️❤️❤️,2024-05-16 12:44:20+00:00
ᴀᴀᴊ ᴍᴇʀᴀ ʙɪʀᴛʜᴅᴀʏ 🎂 ʜᴀɪ ᴋᴏɪ ᴡɪꜱʜ ᴋʀᴅᴏ 😢😢😢,2024-05-16 12:43:31+00:00
𝒢𝒽𝒶𝓇 𝓅𝑒 𝓀𝑜𝒾 𝓃𝒾 𝒽 ☺️☺️ 𝒮𝓉𝑜𝓇𝓎 𝒟𝑒𝓀𝒽𝑜 𝒢𝓊𝓎𝓈 🥵🥵🦋,2024-05-16 12:43:28+00:00
"I want that dress but not going to buy it after finding out your company uses forced labor 
You lost a customer and I’m taking all my followers with me",2024-05-16 13:14:00+00:00
😍😍😍,2024-05-16 12:23:23+00:00
❤️,2024-05-16 09:38:42+00:00
You have no agents in chat from yesterday. Can somebody please reach out to me so that I can get a return label for my order??',2024-05-16 09:37:38+00:00
😍😍😍,2024-05-16 09:35:54+00:00
@romassariolli exatamente!,2024-05-16 09:01:49+00:00
"@hm just has a campaign out, with beautiful pictures taken in Brasil, soundtrack you can hear with Brasilian music, but oh the irony: HM is using cotton from areas that should be preserved ( is HM aware of the massive floodings in south Brasil right now?) This is from april 19 th. : A year-long Earthsight investigation found that fiber certified by ethical supply chain organization Better Cotton was grown on “stolen” and “deforested” land in Brazil. A year-long investigation by nonprofit Earthsight published last week found that cotton grown on what the group said is “stolen” and “deforested” land in Brazil’s Cerrado region appeared in garments approved by supply chain certifier Better Cotton and sold by retail giants H&M and Zara parent company Inditex.
The traced cotton is grown in the Brazilian state of Bahia by two of the country’s largest producers, SLC Agrícola and Grupo Horita, per the report, which said both companies have been fined repeatedly for environmental violations. The investigation traced the cotton to eight Asia-based clothing manufacturers that supply H&M and Inditex with “millions” of garments, per the investigation. So it is absolutely provoking that HM ignores that and still use the Brasilian florests to shoot their campaign, like they care..",2024-05-16 09:01:14+00:00
🖤🖤🖤,2024-05-16 08:58:22+00:00
Uygulama saatlerdir hata veriyor @hm,2024-05-16 08:18:50+00:00
"@hm ⚠️⚠️⚠️Ho controllato il mio ordine e sul sito risulta come consegnato ma non l'ho ricevuto.⚠️⚠️⚠️ Nessun pacco è arrivato fino ad oggi,16/05/2024 alle 10:12 ⚠️⚠️⚠️ @H&M non ha risposto a nessuno dei miei messaggi.⚠️⚠️⚠️⚠️",2024-05-16 08:11:56+00:00
"Yes,this is horrendous 💔. STOP this H&M now!",2024-05-16 07:37:43+00:00
"STOP killing ducks so bloody brutally for their feathers!——-shame on you H&M🤬,& telling the public that they are ethically sourced!",2024-05-16 07:36:07+00:00
waaaooww,2024-05-16 06:47:07+00:00
"@hannkatsu Schade, dass dir unsere aktuellen Styles nicht zusagen - Mode ist natürlich auch immer Geschmacksache. Was die Bademode angeht, so bieten wir derzeit tatsächlich nicht viele Looks an und geben dein Feedback gerne entsprechend weiter.",2024-05-16 06:11:51+00:00
"This company doesn't see any more money from me! For me, starve!",2024-05-16 04:55:51+00:00
"Geht euer Unternehmen pleite oder so? Ihr habt für diesen Sommer fast keine Neue Kollektion für Schwangere rausgebracht, alles nur schwarz, basic beige und gestreiftes? Nicht mal neue Bademode habt ihr. Richtig enttäuscht ihr verliert damit eine einkaufsstarke Zielgruppe. Jetzt muss ich mir woanders moderne Umstandsbikinis holen die bei anderen über 70€ kosten. Warum bringt ihr nicht die reguläre Kollektion als Umstandsmode raus? Früher hattet ihr so schöne Sachen.",2024-05-16 03:52:30+00:00
😍😢👏,2024-05-15 22:13:44+00:00
🔥🔥🔥,2024-05-15 21:53:33+00:00
Nice dress 😍,2024-05-15 20:15:46+00:00
👏,2024-05-15 18:58:18+00:00
Why did you discontinue the plus section in India?,2024-05-15 18:15:54+00:00
"In Vietnam, ducks are stabbed in the neck and their legs are cut off. Their stolen feathers are then sold to H&M as “responsibly sourced” down @peta",2024-05-15 17:56:12+00:00
Hey y'all fancy a disabled athlete for any modelling projects?,2024-05-15 17:15:32+00:00
@danielagomezramos,2024-05-15 17:01:17+00:00
,2024-05-15 16:22:33+00:00
@lena_k_1124 dann Kauf es nicht und Ende!!!,2024-05-15 16:16:46+00:00
@shahedadollie Nein!!!,2024-05-15 16:16:22+00:00
Please check DM. Thank you ❤️,2024-05-15 15:47:47+00:00
❤️❤️❤️,2024-05-15 15:11:00+00:00
@lena_k_1124 Du findest bei uns auch sehr viele Looks aus Baumwolle - filter im Onlineshop einfach nach deinem Lieblingsmaterial.,2024-05-15 15:04:16+00:00
Polyester 👎🏻👎🏻👎🏻,2024-05-15 14:56:42+00:00
"When l lost my job, I thought I have lost it all. With the little cash of $2.000 I got $15.000 with  she may not know it, but really she has saved my life @ashley__taylor_",2024-05-15 14:45:39+00:00
HM 👍..,2024-05-15 13:46:16+00:00
The 2nd dress 😍😍,2024-05-15 13:27:01+00:00
I have blocked this account!!! How dare you advertise to me!,2024-05-15 13:25:24+00:00
Chic❤️,2024-05-15 13:17:30+00:00
❤️❤️,2024-05-15 13:08:01+00:00
"Almost everytime I place an order recently you recharge me for the order days even weeks later and then refund me back the money a day or so later 
Like the order has already been paid and received and I’m being charged for it again out of nowhere. It happens often and it makes no sense. I don’t think I’ll be ordering anymore it’s very frustrating",2024-05-15 12:57:26+00:00
,2024-05-15 12:39:16+00:00
🤷🏼‍♀️🙄🙄🙄,2024-05-15 12:02:50+00:00
"Bouncing back stronger when it comes to finance. All thanks to you I actually made about $100,000 with an investment of $10,000. I recommend @ashley__taylor_",2024-05-15 11:43:59+00:00
